ID,MARKETING_CODE,STATUS_PANTINUM,STATUS_GOLD,STATUS_SILVER,NUM_DEAL,LAST_DEAL,ADVANCE_PURCHASE,FARE_L_Y1,FARE_L_Y2,FARE_L_Y3,FARE_L_Y4,FARE_L_Y5,KM_L_Y1,KM_L_Y2,KM_L_Y3,KM_L_Y4,KM_L_Y5,CHANGE_CAR,DELAYED_CAR,CALL_CENTER_FLAG,VIP_SERVICE,BUYER_FLAG
45,3,0,0,0,3,44,19,138,133,134,128,131,171.3,161.1,170.2,165,151.2,0,1,0,0,0
46,5,0,0,1,5,56,22,243,256,253,256,271,314.1,308.6,251.7,305.2,296.2,1,1,0,0,0
47,3,0,0,0,3,72,29,203,197,201,206,203,144.3,172.7,193.1,220.8,182.2,0,0,0,0,0
48,4,0,0,0,7,28,16,184,177,174,178,181,180.2,151.8,165.8,137.6,202.6,0,0,0,0,0
49,3,0,0,1,1,212,20,210,209,217,219,227,260.9,211.6,260.6,270.8,281.6,1,0,0,1,0
50,2,0,0,0,4,36,17,135,132,132,135,137,132.7,143.5,124,126,101.6,0,0,0,0,0
51,4,0,0,1,2,108,19,189,202,180,214,218,216.7,235.4,239.1,210,225.7,0,0,0,0,0
52,3,0,0,0,6,36,21,219,217,219,209,214,171.9,169.1,185.1,213.2,236.6,0,0,0,0,0
53,2,0,0,0,5,36,22,181,172,170,179,177,112.1,84.5,81.1,178.1,135,0,0,0,0,1
54,4,0,0,0,3,60,23,170,168,170,177,178,132.7,149.4,185.6,192.9,180.4,0,0,0,0,0
55,1,0,0,0,0,0,28,170,161,176,170,172,173.9,151.4,149.7,140.8,124.4,0,0,0,0,0
56,5,0,0,0,8,24,17,172,176,173,178,184,179.5,174.8,163.5,149.1,169,0,0,0,0,0
57,5,0,0,0,2,72,16,131,125,129,132,143,127.4,117.8,91.8,108.5,133.2,0,0,0,0,0
58,5,0,0,0,4,36,18,144,148,146,138,136,136.3,134.5,140.5,141.9,124.7,0,0,0,0,0
59,4,0,0,0,2,48,29,127,100,112,119,94,137.2,119.7,94.1,88,71.7,0,0,0,0,1
60,4,0,0,0,6,24,18,136,124,134,128,127,195.7,194.7,221,135.5,143.1,0,0,0,0,0
61,3,0,0,1,7,32,26,145,210,241,259,279,230.7,207,238.9,199.5,189.8,0,0,0,0,0
62,3,0,0,1,3,84,30,244,233,244,245,258,263.2,287.9,295,282.3,254.9,0,0,0,0,0
63,1,0,0,0,9,0,25,130,138,137,136,142,63,76.6,93.9,131.8,132.9,0,0,0,0,0
64,4,0,0,1,0,0,24,141,150,148,167,197,193.6,210.5,207.7,255,246.6,0,0,0,0,0
65,4,0,0,1,4,76,19,290,286,288,286,289,287.4,280,251.7,286.8,292,0,0,0,0,0
66,2,0,0,0,3,60,24,179,168,163,166,173,207.2,193.7,185.9,186.4,175.5,0,0,0,0,0
67,2,0,0,1,5,52,24,267,270,271,269,252,254.6,240.1,309.2,271.4,256.5,0,0,0,0,0
68,4,0,0,0,5,36,18,184,174,169,173,171,197.1,217.2,198.6,186.1,162.6,0,0,0,0,0
69,5,0,0,0,4,36,31,134,128,131,121,130,90.2,66.3,75.1,98,126,0,0,0,0,0
70,2,0,0,0,5,32,17,174,167,159,158,171,141.5,177.9,233.4,216.6,199.2,0,0,0,0,0
71,2,0,0,0,6,24,19,129,136,127,123,108,108.6,92.4,114.8,68.2,62.3,0,0,0,0,0
72,3,0,0,1,3,84,26,240,242,261,248,247,282.8,279.2,256.7,232.6,257.7,0,0,0,0,0
73,4,0,0,0,5,36,22,171,174,173,180,173,183.5,174.1,162.8,151.3,164.7,0,0,0,0,0
74,5,0,0,0,2,68,21,139,135,127,135,129,103.1,55.5,84.6,101.4,120.7,0,0,0,0,0
75,4,0,0,0,3,44,22,126,127,124,123,124,141,125.6,87.3,93.3,106.7,0,0,0,0,0
76,5,0,0,0,2,92,17,188,190,184,177,171,159.5,187.5,147.3,150.9,122.3,0,0,0,0,0
77,3,0,0,0,6,36,21,197,205,183,139,159,188.2,185.4,192.9,128,123.9,0,0,0,0,0
78,2,0,0,1,5,40,17,215,227,213,204,195,219.4,231.6,222,197.7,172.7,0,0,0,1,0
79,4,0,0,0,6,36,18,171,175,196,197,196,139.6,180.5,166.3,156.5,175.5,0,0,0,0,0
80,3,0,0,0,3,52,14,147,155,152,149,146,127.6,120.8,158.2,171.9,157.5,0,0,0,0,0
81,2,0,0,0,4,44,13,176,180,166,160,165,155.4,165.4,135.6,140,150.1,0,0,0,0,0
82,1,0,0,0,3,60,25,188,173,173,176,173,155,137.1,138.9,151.1,151.2,0,0,0,0,0
83,2,0,0,0,4,36,12,138,137,139,139,151,146,151,165.1,173.3,192.7,0,1,0,0,0
84,4,0,0,0,3,60,25,166,163,169,183,181,231.1,188.3,189.3,173,180,0,0,0,0,0
85,1,0,0,0,5,36,30,168,180,177,168,172,155.6,198.5,242.8,226.6,175.3,0,0,0,0,0
86,4,0,0,0,5,28,21,140,122,126,125,117,87.6,93.9,107.2,104.1,74,0,0,0,0,0
87,5,0,0,0,4,44,17,168,158,170,147,156,151,135.6,160.2,178.6,144.1,0,0,0,0,0
88,2,0,0,1,5,44,18,233,233,214,248,202,322.9,289.2,291.8,262.3,262.3,0,0,0,0,0
89,4,0,0,0,2,68,22,122,125,129,120,134,149,113.8,89.4,93,130.9,0,0,0,0,0
90,3,0,0,0,2,84,27,166,174,190,189,177,175.4,150.1,138.7,150.7,141.3,0,0,0,0,0
91,4,0,0,1,7,32,27,216,211,210,198,193,229.8,248,238.2,229.9,190.5,0,0,0,0,1
92,3,0,0,0,3,64,20,183,200,208,199,194,148.8,156.4,151.1,168.6,160,0,0,0,0,0
93,1,0,0,0,6,24,14,135,124,130,137,138,114.2,148.9,139.8,119.8,124.9,0,0,0,0,0
94,3,0,0,1,4,52,27,195,212,175,236,251,229.2,226.3,241.9,204.8,225.8,0,0,0,1,0
95,3,0,0,0,6,24,17,125,133,132,137,132,142.2,177.8,184.5,143.4,154.7,0,0,0,0,0
96,3,0,0,0,3,56,27,163,151,147,155,165,125.1,70.8,90.2,133.2,137.4,0,0,0,0,0
97,1,0,0,0,6,24,21,110,136,124,131,136,203,189.5,182.5,162.7,151,0,0,0,0,1
98,3,0,0,1,7,40,27,244,254,255,256,255,299.6,280.4,289.8,314.5,283.1,0,0,0,1,0
99,2,0,0,0,7,40,18,265,282,265,275,179,139.7,134.7,178.6,186.8,156.4,0,0,0,0,0
100,1,0,0,0,5,40,19,183,183,167,169,164,220.4,198.8,172.8,209,157.7,0,0,0,0,0
101,5,0,1,0,3,108,31,332,325,312,299,314,316.8,334.7,334.7,276.6,251.5,0,0,0,1,0
102,5,0,1,0,3,100,34,289,284,289,297,314,307.5,321.8,339.6,333,297.6,0,0,0,1,0
103,2,0,0,0,6,24,12,127,125,124,117,120,142.5,137.9,150.8,89.2,115.2,0,0,0,0,1
104,2,0,0,1,4,64,34,265,258,249,250,247,294.4,329,296.2,264.3,212.5,1,0,0,0,0
105,4,0,0,0,5,36,29,185,178,178,179,168,233.6,174.1,172.1,116,107.5,0,0,0,0,0
106,5,0,0,0,4,36,21,130,132,132,144,129,106.4,109.1,124.8,77.3,71.6,0,0,0,0,0
107,2,0,0,0,9,0,17,130,131,125,120,118,85.1,97.2,95.4,85.4,44.2,0,0,0,0,0
108,4,0,0,1,5,36,24,171,173,170,177,177,252.4,206.1,176.6,195.7,194,0,0,0,0,0
109,1,0,0,0,2,64,25,131,121,138,125,126,56.9,83.5,50.5,82.1,113.2,0,0,0,0,0
110,5,0,0,0,5,40,23,173,183,195,189,185,160.8,141.4,130.1,161.9,139.2,0,0,0,0,0
111,2,0,0,0,3,60,13,181,179,175,179,179,150.3,186.5,206.1,227.7,188.2,0,0,0,0,0
112,1,0,0,0,8,28,19,215,200,196,198,213,167.6,193.1,197.5,153.7,156.1,1,0,0,0,0
113,5,0,0,0,6,28,16,182,174,166,160,161,180.7,166.3,164.7,168,126.4,0,0,0,0,0
114,4,0,1,0,5,72,22,353,328,342,357,359,338.5,294.9,306.6,336.5,343.1,0,0,0,1,0
115,3,0,0,1,10,28,16,186,197,252,251,244,244.1,243,217.6,228.8,240.9,0,1,0,0,0
116,1,0,0,0,5,36,31,174,166,166,174,166,218.6,190.4,190.8,176.1,130.4,0,1,0,0,0
117,3,0,0,0,3,48,19,140,139,141,152,151,174.8,152.6,129.7,141.1,180.2,0,1,0,0,0
118,1,0,0,0,4,48,21,171,190,185,188,192,158.6,156.9,194.8,203,214.2,0,0,0,0,0
119,4,0,0,0,11,0,26,170,181,176,170,173,158,183.3,192.2,186,164.8,0,0,0,0,0
120,5,0,0,0,6,24,14,136,138,144,140,139,183.2,215.9,188.1,168.3,148.8,0,0,0,0,0
121,1,0,0,1,3,68,25,208,203,205,215,220,221.3,189,285.3,256.8,243.5,1,0,0,0,0
122,2,0,0,0,7,20,15,130,137,134,126,131,95,120.8,115.9,119.7,117.7,0,0,0,0,0
123,3,0,0,0,5,24,24,141,132,127,121,118,196.1,201.2,162.7,122.6,90.4,0,0,0,0,0
124,3,0,0,0,7,24,20,175,165,170,162,165,219.1,164.3,110.3,98.4,98.7,0,1,0,0,0
125,1,0,0,1,4,72,27,293,290,286,283,273,245.6,273.9,276.6,248.5,222.2,0,0,0,1,0
126,3,0,0,1,1,208,22,214,212,213,208,209,245.6,259.4,253.4,270.1,226.8,0,0,0,1,1
127,3,0,0,0,4,36,19,136,129,136,133,136,113.6,118.4,122.1,102.8,149.5,0,0,0,0,0
128,3,0,0,0,8,20,15,142,150,144,142,148,144.6,119.4,171.1,169.6,196.3,0,0,0,0,1
129,4,0,0,0,3,48,18,144,154,156,140,134,180.1,167.3,150.8,134.2,146.3,0,0,0,0,1
130,5,1,0,0,0,0,23,471,473,424,410,429,450.5,405.4,392.3,385.1,424.2,0,0,0,1,0
131,4,0,0,1,7,40,24,262,265,256,246,243,243.3,218.9,256,249.6,258.5,1,0,0,0,0
132,2,0,0,1,3,60,13,177,177,172,169,169,256.7,204.2,234.4,204.9,187.2,0,0,0,0,0
133,1,0,0,1,1,260,25,245,243,258,260,269,248.1,219.7,255.4,240.7,252.2,1,0,0,0,0
134,5,0,0,1,3,60,24,172,190,189,187,180,217.1,202.6,202.2,210.1,219.4,0,0,0,1,0
135,2,0,0,0,7,28,33,174,182,178,176,172,157.7,172.2,157.3,133.7,162.2,0,0,0,0,0
136,3,0,1,0,4,96,19,355,374,377,384,382,412.6,394.8,347.8,386.6,379.9,0,0,0,0,0
137,5,0,1,0,10,36,23,342,345,343,347,341,361.5,363.7,350.4,415.2,387.5,0,0,0,1,0
138,5,0,0,0,1,164,22,166,161,136,168,158,172.3,136.4,159.9,165.5,139.8,0,0,0,0,1
139,4,0,0,0,4,32,22,133,128,128,121,119,110.4,105.6,74,85.8,78.7,0,0,0,0,0
140,4,0,1,0,3,132,30,388,390,377,377,365,375.5,385.4,341.2,362.1,365.5,0,0,0,1,0
141,5,0,0,0,1,136,26,132,135,144,144,155,152.4,171,209.1,215,210.6,0,0,0,0,0
142,4,0,0,0,4,36,21,127,143,140,140,139,153,141.1,147.9,161.8,131.2,0,0,0,0,0
143,1,0,0,0,3,44,18,133,126,128,123,130,65.4,90.7,89.9,104.2,116.6,0,0,0,0,0
144,4,0,0,0,7,28,24,182,178,172,181,187,178,166,221,199.8,204.8,0,0,0,0,0
145,1,0,0,0,4,32,18,137,133,130,127,123,145.4,109.7,97.6,85.1,111.3,0,0,0,0,0
146,5,0,0,0,1,140,24,147,140,141,148,144,179.7,166,131.7,132.5,148.6,0,0,0,0,0
147,3,0,0,0,4,28,15,110,119,110,109,134,90.4,122.1,119.2,149.9,164.2,0,0,0,0,0
148,5,0,0,0,4,44,16,175,175,179,178,176,85.2,140.6,88.8,132.9,145,0,0,0,0,0
149,2,0,1,0,2,176,35,343,349,347,352,354,353.7,332.1,328.2,335.1,411.3,0,0,0,1,0
150,1,0,0,0,2,72,11,149,140,108,126,103,100,64.6,45.5,91.2,98.4,0,0,0,0,0
151,3,0,0,0,4,40,24,151,160,145,115,111,78.7,92,85.7,77.9,112,0,0,0,0,0
152,3,0,0,0,4,44,26,164,167,171,171,165,146.7,156,200.3,212.6,178.1,0,0,0,0,0
153,4,0,1,0,4,84,21,315,318,324,333,338,406.9,396.5,405.7,381.9,377,0,0,0,1,0
154,4,0,0,0,8,24,19,146,169,144,140,125,142.6,176,165.2,139.3,145.4,0,0,0,0,0
155,4,0,0,0,0,0,17,142,131,138,134,131,194.6,170.8,157,100.1,122.8,0,0,0,0,0
156,4,0,0,0,8,20,19,137,169,153,150,126,101.1,109.2,132.5,126,117.3,0,0,0,0,0
157,3,0,0,1,3,88,32,264,264,262,251,267,203,271,278,279.8,318,0,0,0,1,0
158,5,0,0,0,1,188,31,152,165,189,187,208,183,164.1,179.5,222.7,238.7,0,1,0,0,0
159,5,0,0,0,3,44,12,138,132,129,131,137,105.2,106.7,79.3,113,113.8,0,0,0,0,0
160,1,0,0,0,1,172,13,187,184,177,180,169,117.6,143.5,102.9,110.3,163.9,0,1,0,0,0
161,4,0,0,1,3,72,29,197,201,198,206,206,234.3,225.2,206.4,198.2,193.1,0,0,0,1,0
162,1,0,0,0,4,36,16,134,134,131,120,126,103.6,96.3,105.2,120,104.7,0,0,0,0,0
163,3,0,0,0,5,32,12,167,171,148,168,151,145.3,163.7,140.1,175.2,146.3,0,0,0,0,0
164,1,0,0,1,6,36,23,215,233,156,208,231,214.5,201.3,186.6,210.7,210.9,0,0,0,1,0
165,2,0,0,1,2,112,27,221,222,226,226,225,293.8,274.2,267.6,244.6,284.5,1,0,0,0,1
166,1,0,0,0,4,44,18,166,218,238,153,142,143.7,139.3,146.7,83.4,102.9,0,0,0,0,0
167,4,0,0,0,3,0,28,0,0,0,38,104,221.8,153.4,169.3,123.2,147.2,0,0,0,0,0
168,4,0,0,0,2,84,20,162,168,170,167,158,198,148.5,114,143.1,112.9,0,0,0,0,0
169,2,0,0,0,4,40,15,148,138,133,131,140,97.5,100.1,135.2,149.9,171.9,0,0,0,0,0
170,5,0,0,1,5,52,21,251,249,247,252,243,304,273.2,268,269.5,199.1,0,0,0,1,1
171,3,0,0,0,3,44,26,124,132,129,128,135,142.6,147.2,156.2,141.7,160.3,0,1,0,0,0
172,5,0,0,1,7,32,27,189,219,266,232,218,243.3,265.5,214.2,199.8,172.1,1,0,0,0,0
173,4,0,0,0,7,24,17,146,144,134,128,124,208.7,194.9,206.1,172.5,130,0,0,0,0,0
174,5,0,0,1,1,148,11,137,145,151,147,145,149.2,170.3,232.6,237,217.5,0,0,0,0,1
175,4,0,0,0,6,32,18,182,191,177,186,184,137.1,136.5,165.5,188.9,188.2,0,0,0,0,0
176,5,0,0,0,4,20,15,187,179,102,77,149,154.7,147.8,143.1,126.1,132.9,0,0,0,0,0
177,5,0,0,0,3,60,16,154,168,174,161,165,183.1,224.2,195.1,161.1,182.2,0,0,0,0,0
178,1,0,0,1,2,108,21,210,208,229,233,225,217.4,209.1,206.8,216,203.6,0,0,0,1,0
179,2,0,0,0,6,24,13,121,123,129,135,126,177,171,181.5,139.2,141.2,0,0,0,0,0
180,4,0,0,0,8,24,18,154,171,167,184,182,132,101.8,189.1,190,196,0,0,0,0,0
181,3,0,0,0,3,64,21,183,174,178,177,176,170.2,173.5,216,226.8,206.8,0,1,0,0,0
182,1,0,0,0,9,0,23,133,139,132,132,141,143,147.3,160,156.6,155.9,0,0,0,0,0
183,5,0,0,0,5,32,12,152,149,152,146,137,95.2,82.5,117.3,144,108.7,0,0,0,0,0
184,1,0,0,0,2,92,22,156,168,156,180,174,129.2,159.3,161.4,208.1,172,0,0,0,0,0
185,5,0,0,0,2,64,20,71,84,123,124,100,168.4,130.3,134.8,184.4,144.6,0,0,0,0,0
186,3,0,0,0,2,72,17,142,142,147,151,165,155.4,134.7,128.8,162.4,199.4,0,0,0,0,0
187,4,0,0,1,6,40,25,218,228,219,210,180,214.2,224,234.8,220.9,152,0,0,0,0,0
188,5,0,0,0,7,20,20,143,134,127,115,113,152,126.7,132.9,120.1,84,0,0,0,0,0
189,1,0,0,0,4,52,13,169,180,167,178,197,159.7,190.1,195.2,207.6,211,0,0,0,0,0
190,1,0,0,0,1,164,16,168,172,164,171,178,164,168.3,162.6,183,159.3,0,1,0,0,0
191,4,0,0,1,6,44,24,265,279,271,272,260,226.7,208.2,233.7,285,255.4,0,0,0,1,0
192,2,0,0,0,2,64,21,128,134,134,148,148,170.9,191.3,162.9,157.4,160.4,0,0,0,0,0
193,2,0,0,0,4,44,19,170,167,164,171,167,142.9,137.4,168.8,167.2,159,0,0,0,0,0
194,3,0,0,0,2,76,27,149,149,141,149,137,196.3,188.4,245.1,193.3,149.7,0,0,0,0,0
195,3,0,0,0,12,0,23,151,166,176,176,163,146.6,135.2,140,113,143.2,0,0,0,0,0
196,3,0,0,0,3,48,33,137,134,139,124,133,100.5,90.9,91.5,124.5,139.5,0,0,0,0,0
197,3,0,0,0,4,36,23,137,134,139,130,139,171.1,168.6,184.5,161.7,154.7,0,0,0,0,0
198,5,0,0,0,5,28,31,137,130,134,140,136,64.4,111.4,118.7,125.7,146.6,0,0,0,0,0
199,3,0,0,0,1,152,16,128,125,125,134,150,122.8,159.1,151,151,155.8,0,0,0,0,0
200,1,0,0,0,6,32,20,203,195,178,165,171,157.9,179.8,169,180.4,203.3,0,0,0,0,0
201,1,0,0,0,3,68,23,175,180,196,191,180,174,171.5,137.2,132.2,159.7,0,0,0,0,0
202,1,0,0,1,7,44,23,286,283,278,286,279,311,301.1,311.4,320.3,240.9,0,0,0,0,0
203,2,0,0,1,0,0,22,200,207,213,215,209,265.4,247,224.9,238.4,238.8,0,0,0,0,0
204,5,0,0,0,3,64,25,185,191,182,179,178,204.8,215.6,162.1,209.5,178.7,0,1,0,0,0
205,2,0,0,0,3,52,16,144,149,159,154,148,135.5,161.8,145.4,171.9,178.1,0,0,0,0,1
206,4,0,0,0,6,24,22,109,121,128,122,112,152.4,163.9,181.1,141.1,107.6,0,0,0,0,0
207,4,0,0,0,4,44,17,173,172,175,174,173,202.2,148.7,145,170.8,149.9,0,0,0,0,0
208,1,0,0,0,3,48,10,138,133,131,138,137,94.3,69.3,86,125.3,104.9,0,0,0,0,0
209,2,1,0,0,1,408,26,459,449,390,408,473,479.7,464.2,464.2,472.9,445.1,0,0,0,1,0
210,3,0,0,0,4,32,23,147,161,122,150,162,166.3,132,92.7,143.5,108.3,0,0,0,0,0
211,4,0,0,0,8,24,18,168,166,153,159,166,158.4,157.6,188.5,125.5,144.8,0,0,0,0,0
212,1,0,0,0,5,36,13,182,171,162,167,179,162.9,137.3,146,185.3,180.1,0,0,0,0,0
213,1,0,0,0,4,32,20,120,135,135,124,125,105.7,102.7,101.2,94,59.1,0,0,0,0,0
214,1,0,0,0,3,60,18,177,175,170,177,193,175.4,156.5,167.1,194.5,224,0,0,0,0,0
215,3,0,0,0,4,52,12,194,184,174,165,160,139.7,102,150.7,147.2,155.2,0,0,0,0,1
216,1,0,0,0,4,32,22,129,128,125,122,129,132.6,76.8,60.9,43.1,125,0,0,0,0,0
217,2,0,0,0,7,20,16,146,120,115,124,145,170.9,148.5,114,105.9,115.6,0,0,0,0,0
218,4,0,0,0,2,68,23,143,133,131,135,137,135.2,94.6,152.4,106.4,153,0,0,0,0,0
219,4,0,0,0,5,36,15,175,184,186,175,186,126.7,151.3,206,199.6,193.3,0,0,0,0,0
220,3,0,0,0,3,48,20,132,130,130,136,140,182.2,184.9,180,156.9,151.8,0,0,0,0,0
221,3,0,0,0,5,44,26,200,204,214,218,218,186.9,178.5,145,196.8,195.6,0,0,0,0,0
222,1,0,1,0,5,72,29,351,356,362,373,374,345.2,379.2,379.4,423.1,394,0,0,0,1,0
223,4,0,0,0,2,96,20,184,191,181,185,180,190.3,196.3,191.9,195.3,205.3,0,0,0,0,0
224,2,0,0,0,2,92,21,177,190,183,184,179,170.5,208.8,177,160,225.1,0,0,0,0,0
225,3,0,0,0,2,64,19,140,123,129,154,167,183.8,151.8,162.8,117,127.5,0,0,0,0,0
226,5,0,0,0,2,88,16,158,157,160,172,162,241.8,228.3,171.7,174.8,159.6,0,0,0,0,0
227,2,0,0,0,6,28,28,171,169,168,171,174,161.9,168.6,134.4,134.4,210.4,0,0,0,0,0
228,1,0,0,0,3,48,20,129,129,148,142,127,148,118.5,103.2,121.9,135.4,0,0,0,0,0
229,4,0,0,0,3,52,18,139,126,123,136,145,62.3,64.5,123.3,115.3,122.5,0,1,0,0,0
230,4,0,1,0,6,76,23,439,448,436,414,441,346.9,371.9,422,411.9,436.6,0,0,0,1,0
231,1,0,0,0,1,124,21,135,130,124,122,124,114.6,137.8,105.4,103,88.7,0,0,0,0,0
232,2,0,0,0,4,48,18,181,182,178,172,173,195.1,170.8,174.7,130.7,150.8,0,0,0,0,0
233,4,0,0,1,3,60,25,193,167,185,186,173,206.8,207.6,190.8,224.6,192.3,0,0,0,1,0
234,3,0,0,0,6,24,17,135,136,140,133,126,81,149.2,118,124.9,66.1,0,0,0,0,0
235,4,0,0,0,9,0,22,144,132,137,139,134,176.4,175.1,179.1,159.3,143.6,0,0,0,0,0
236,4,0,0,1,6,36,27,228,200,196,221,227,218.9,271.3,194.2,211.8,237.1,1,0,0,0,1
237,1,0,0,0,8,24,16,179,180,179,182,177,135.8,119.5,108.1,101.8,93.2,0,0,0,0,0
238,2,0,0,1,4,64,25,251,257,249,257,263,277.3,262.2,262.1,261.8,317.1,0,0,0,0,0
239,3,0,0,0,5,28,16,132,135,130,133,119,111.4,89.6,90.9,75.7,71.4,0,0,0,0,1
240,3,0,0,1,5,48,25,234,235,236,224,229,204.4,204.9,211.3,250.2,300.1,0,0,0,0,0
241,2,0,0,1,10,28,27,307,306,292,286,279,271.3,288.2,258.2,281.7,256.9,1,0,0,0,0
242,3,0,0,0,3,44,16,141,141,146,131,130,129.9,74.8,73.9,62.2,117.2,0,0,0,0,0
243,5,0,0,0,4,32,29,126,122,120,122,128,143.3,179.2,132.6,116.1,118.1,0,0,0,0,0
244,4,0,0,0,4,44,23,170,167,176,168,174,144.5,165.1,160.6,194.8,220.8,0,0,0,0,0
245,3,0,0,0,5,32,18,144,145,129,135,127,164.9,136.2,127.5,97.9,100.7,0,0,0,0,0
246,3,0,0,0,8,20,26,136,137,143,148,144,130.8,126.9,113.3,111.2,162.8,0,0,0,0,0
247,3,0,0,0,1,144,18,142,136,139,126,127,84.8,92,149.1,117.8,120,0,0,0,0,0
